,BNF CODE,BNF NAME                                    ,SUB_CHAPTER,SUB_CHAPTER_REM,ITEMS  ,NIC        ,ACT COST   ,QUANTITY
78716,0101010C0AAAAAA,Alum Hydrox_Cap 475mg                   ,101010,C0AAAAAA,1,38.39,35.67,336
43054,0101010C0BBAAAA,Alu-Cap_Cap 475mg                       ,101010,C0BBAAAA,1,28.79,26.78,252
2143477,0101010F0AAAUAU,Mag Carb_Heavy Cap 500mg                ,101010,F0AAAUAU,1,307.52,284.86,30
2591081,0101010F0BCAAAU,Magnesite_Cap 500mg                     ,101010,F0BCAAAU,2,516.32,478.48,168
10390,0101010G0AAABAB,Co-Magaldrox_Susp 195mg/220mg/5ml S/F   ,101010,G0AAABAB,1,2.99,2.78,500
67141,0101010G0AAAGAG,Co-Magaldrox_Oral Susp 200/175mg/5ml S/F,101010,G0AAAGAG,1,4.66,4.33,500
31936,0101010G0BBABAB,Maalox_Susp 195mg/220mg/5ml S/F         ,101010,G0BBABAB,1,3.35,3.12,500
14116,0101010G0BBAHAG,Maalox_Oral Susp 175mg/200mg/5ml        ,101010,G0BBAHAG,2,9.32,8.66,1000
17129,0101010G0BCABAB,Mucogel_Susp 195mg/220mg/5ml S/F        ,101010,G0BCABAB,1,5.98,5.55,1000
473572,0101010I0AAABAB,Mag Ox_Cap 100mg                        ,101010,I0AAABAB,1,296.02,274.31,336
184346,0101010I0AAACAC,Mag Ox_Cap 160mg                        ,101010,I0AAACAC,1,79.8,73.93,120
20213,0101010I0AAAEAE,Mag Ox_Tab 100mg                        ,101010,I0AAAEAE,2,113.52,105.18,120
2704642,0101010I0AAAHAH,Mag Ox_Cap 400mg                        ,101010,I0AAAHAH,1,395.7,366.54,14
7386000,0101010I0AAALAL,Mag Ox_Tab 160mg                        ,101010,I0AAALAL,1,64.36,59.63,60
379655,0101010I0AAAYAY,Mag Ox_Cap 500mg                        ,101010,I0AAAYAY,1,307.52,284.86,84
227350,0101010I0AABIBI,Mag Ox_Tab 400mg                        ,101010,I0AABIBI,2,93.94,87.24,112
9367619,0101010I0AABPBP,Mag Ox_Tab 133mg                        ,101010,I0AABPBP,1,105.44,97.68,56
3316896,0101010I0BDABAB,Magstar_Cap 100mg                       ,101010,I0BDABAB,1,514.8,476.86,180
584322,0101010I0BEAAAC,Oromag 160_Cap                          ,101010,I0BEAAAC,1,111.72,103.6,168
958703,0101010I0BFABAB,Magdose_Cap 100mg                       ,101010,I0BFABAB,1,158.58,146.9,180
1577443,0101010I0BFADAC,Magdose_Cap 160mg                       ,101010,I0BFADAC,1,107.94,100,180
2192282,0101010I0BFAEAY,Magdose_Cap 500mg                       ,101010,I0BFAEAY,1,46.89,43.45,30
43056,0101010J0AAAAAA,Mag Trisil_Mix                          ,101010,J0AAAAAA,1,1.65,1.54,200
2587,0101010J0AAAHAH,Mag Trisil Co_Tab                       ,101010,J0AAAHAH,1,27.75,25.72,100
6185309,0101010L0AAAIAI,Gppe Susp_Maalox Plus S/F               ,101010,L0AAAIAI,1,5.82,5.4,500
4977604,0101010L0BBABAA,Asilone_Susp S/F                        ,101010,L0BBABAA,1,1.95,1.82,500
20214,0101010L0BEAAAI,Maalox Plus_Susp                        ,101010,L0BEAAAI,1,2.91,2.71,250
712,0101010N0AAABAB,Antacid/Oxetacaine_Oral Susp            ,101010,N0AAABAB,1,41.89,38.81,300
