PRACTICE,SUB_CHAPTER,ITEMS,NIC,ACT COST,QUANTITY,ClusterNumber
discrete,continuous,continuous,continuous,continuous,continuous,continuous
,,,,,,
A81001,601011.0,14.0,835.97,774.51,124.0,3.0
A81001,601012.0,30.0,1440.11,1334.54,233.0,3.0
A81002,601011.0,67.0,3222.04,2985.36,476.0,3.0
A81002,601012.0,169.0,7694.32,7129.67,1286.0,3.0
A81004,601011.0,40.0,1632.21,1512.38,215.0,1.0
A81004,601012.0,70.0,3304.67,3062.13,517.0,1.0
A81005,601011.0,30.0,1126.11,1043.49,174.0,3.0
A81005,601012.0,69.0,2537.25,2351.36,401.0,3.0
A81006,601011.0,55.0,2546.02,2359.12,390.0,2.0
A81006,601012.0,167.0,7120.35,6598.79,1251.0,2.0
A81007,601011.0,40.0,2052.57,1902.04,279.0,2.0
A81007,601012.0,97.0,4919.77,4558.89,831.0,2.0
A81009,601011.0,39.0,1337.26,1239.18,220.0,2.0
A81009,601012.0,85.0,3332.27,3088.17,514.0,2.0
A81011,601011.0,40.0,2206.24,2044.11,300.0,2.0
A81011,601012.0,111.0,5491.37,5088.16,988.0,2.0
A81012,601011.0,11.0,621.99,576.27,105.0,2.0
A81012,601012.0,47.0,2306.94,2137.85,360.0,2.0
A81013,601011.0,28.0,1361.77,1261.76,203.0,2.0
A81013,601012.0,61.0,2638.68,2445.0,402.0,2.0
A81014,601011.0,21.0,1005.74,931.86,145.0,3.0
A81014,601012.0,40.0,1728.51,1601.79,257.0,3.0
A81015,601011.0,14.0,579.86,537.3,110.0,1.0
A81015,601012.0,24.0,1188.94,1101.6,163.0,1.0
A81016,601011.0,38.0,1453.12,1346.51,234.0,2.0
A81016,601012.0,86.0,3996.43,3702.88,589.0,2.0
A81017,601011.0,76.0,3991.28,3698.2,676.0,1.0
A81017,601012.0,161.0,7503.6,6953.25,1208.0,1.0
A81018,601011.0,46.0,1910.39,1770.12,315.0,3.0
A81018,601012.0,108.0,5411.58,5014.07,814.0,3.0
A81019,601011.0,32.0,1437.97,1332.38,255.0,2.0
A81019,601012.0,115.0,5282.39,4895.83,790.0,2.0
A81020,601011.0,24.0,898.7,832.85,154.0,3.0
A81020,601012.0,60.0,2614.36,2422.67,400.0,3.0
A81021,601011.0,47.0,1977.51,1832.45,297.0,2.0
A81021,601012.0,136.0,6298.58,5836.14,1015.0,2.0
A81022,601011.0,43.0,1667.83,1545.51,250.0,1.0
A81022,601012.0,103.0,5002.49,4635.5,734.0,1.0
A81023,601011.0,22.0,1559.16,1444.61,272.0,2.0
A81023,601012.0,65.0,2810.49,2604.53,415.0,2.0
A81025,601011.0,10.0,529.73,490.8,84.0,1.0
A81025,601012.0,25.0,1110.12,1028.58,200.0,1.0
A81026,601011.0,45.0,2351.36,2178.6,401.0,2.0
A81026,601012.0,110.0,5339.32,4947.71,866.0,2.0
A81027,601011.0,43.0,1988.17,1842.14,307.0,1.0
A81027,601012.0,68.0,3445.18,3192.07,570.0,1.0
A81029,601011.0,17.0,976.6,904.85,126.0,2.0
A81029,601012.0,38.0,2475.18,2293.15,388.0,2.0
A81030,601011.0,27.0,1333.36,1235.41,203.0,1.0
A81030,601012.0,76.0,4001.82,3707.94,638.0,1.0
A81031,601011.0,42.0,2242.24,2077.89,295.0,2.0
A81031,601012.0,95.0,4500.09,4170.71,788.0,2.0
A81032,601011.0,49.0,2435.13,2256.26,345.0,3.0
A81032,601012.0,99.0,5607.29,5195.27,752.0,3.0
A81033,601011.0,15.0,841.39,779.65,138.0,2.0
A81033,601012.0,37.0,1460.58,1353.46,240.0,2.0
A81034,601011.0,86.0,4106.66,3805.2,582.0,1.0
A81034,601012.0,179.0,8014.08,7426.67,1350.0,1.0
A81035,601011.0,31.0,1362.26,1262.34,234.0,2.0
A81035,601012.0,94.0,3905.83,3619.65,605.0,2.0
A81036,601011.0,67.0,3257.14,3017.88,489.0,1.0
A81036,601012.0,183.0,7945.22,7362.88,1361.0,1.0
A81037,601011.0,37.0,1922.86,1781.65,299.0,2.0
A81037,601012.0,57.0,3248.38,3009.72,491.0,2.0
A81038,601011.0,8.0,415.8,385.25,61.0,2.0
A81038,601012.0,46.0,2315.5,2145.48,344.0,2.0
A81039,601011.0,32.0,2072.58,1920.21,243.0,1.0
A81039,601012.0,53.0,2508.72,2324.42,380.0,1.0
A81040,601011.0,29.0,1230.14,1139.83,179.0,1.0
A81040,601012.0,66.0,3255.7,3016.96,560.0,1.0
A81041,601011.0,27.0,1166.47,1080.85,194.0,2.0
A81041,601012.0,91.0,4667.19,4324.27,800.0,2.0
A81042,601011.0,51.0,2407.35,2230.53,351.0,2.0
A81042,601012.0,136.0,6564.64,6082.71,1096.0,2.0
A81043,601011.0,46.0,2070.98,1919.12,378.0,1.0
