PRACTICE,SUB_CHAPTER,ITEMS,NIC,ACT COST,QUANTITY,ClusterNumber
discrete,continuous,continuous,continuous,continuous,continuous,continuous
,,,,,,
A81001,601022.0,142.0,784.62,730.55,17745.0,3.0
A81002,601022.0,663.0,2774.38,2584.53,66029.0,3.0
A81004,601022.0,298.0,1284.33,1197.22,28399.0,1.0
A81005,601022.0,259.0,1016.92,947.99,22962.0,3.0
A81006,601022.0,554.0,2046.98,1909.15,45956.0,2.0
A81007,601022.0,267.0,1209.89,1129.4,27427.0,2.0
A81009,601022.0,358.0,1137.94,1064.47,26838.0,2.0
A81011,601022.0,301.0,1275.18,1187.8,36869.0,2.0
A81012,601022.0,257.0,800.91,755.57,17444.0,2.0
A81013,601022.0,227.0,982.32,915.93,16474.0,2.0
A81014,601022.0,128.0,591.96,552.52,9186.0,3.0
A81015,601022.0,83.0,349.56,325.01,7336.0,1.0
A81016,601022.0,352.0,1235.82,1154.99,29384.0,2.0
A81017,601022.0,612.0,2148.87,2012.37,45094.0,1.0
A81018,601022.0,484.0,1399.77,1314.68,34085.0,3.0
A81019,601022.0,334.0,1530.78,1425.88,32993.0,2.0
A81020,601022.0,268.0,1030.8,962.15,22706.0,3.0
A81021,601022.0,645.0,2619.12,2447.93,48469.0,2.0
A81022,601022.0,391.0,1562.19,1457.22,31582.0,1.0
A81023,601022.0,170.0,965.7,899.93,20738.0,2.0
A81025,601022.0,144.0,659.38,615.86,12828.0,1.0
A81026,601022.0,399.0,1558.07,1452.53,38240.0,2.0
A81027,601022.0,282.0,1265.88,1179.55,28387.0,1.0
A81029,601022.0,231.0,664.42,624.09,18469.0,2.0
A81030,601022.0,367.0,1724.99,1611.77,37694.0,1.0
A81031,601022.0,319.0,1839.86,1712.51,33910.0,2.0
A81032,601022.0,362.0,1260.34,1176.04,28866.0,3.0
A81033,601022.0,182.0,747.78,700.79,14873.0,2.0
A81034,601022.0,627.0,2708.16,2525.45,56732.0,1.0
A81035,601022.0,287.0,1202.32,1120.83,28839.0,2.0
A81036,601022.0,556.0,2464.52,2294.65,51503.0,1.0
A81037,601022.0,293.0,1126.3,1052.79,29804.0,2.0
A81038,601022.0,235.0,835.26,786.61,14497.0,2.0
A81039,601022.0,301.0,1032.18,961.92,24764.0,1.0
A81040,601022.0,214.0,804.32,752.29,24471.0,1.0
A81041,601022.0,314.0,1638.97,1526.9,39920.0,2.0
A81042,601022.0,670.0,2987.38,2793.44,45022.0,2.0
A81043,601022.0,331.0,1148.33,1073.09,25606.0,1.0
A81044,601022.0,679.0,1800.05,1694.61,47079.0,1.0
A81045,601022.0,309.0,1153.7,1078.1,22640.0,3.0
A81046,601022.0,342.0,1801.5,1676.02,35078.0,1.0
A81048,601022.0,372.0,1341.02,1256.26,26665.0,3.0
A81049,601022.0,347.0,1123.74,1058.42,21323.0,2.0
A81051,601022.0,167.0,783.47,730.08,18686.0,1.0
A81052,601022.0,369.0,1662.73,1552.03,30631.0,3.0
A81053,601022.0,301.0,778.72,737.33,18877.0,2.0
A81054,601022.0,341.0,1159.79,1086.05,23793.0,1.0
A81056,601022.0,117.0,341.95,318.81,10164.0,3.0
A81057,601022.0,290.0,1189.1,1108.05,27272.0,1.0
A81058,601022.0,227.0,1039.38,968.05,23033.0,1.0
A81060,601022.0,131.0,575.41,537.44,13592.0,1.0
A81063,601022.0,224.0,1055.35,983.41,20795.0,2.0
A81064,601022.0,151.0,725.8,675.47,15507.0,0.0
A81065,601022.0,241.0,622.78,586.06,15045.0,2.0
A81066,601022.0,140.0,662.11,614.22,13412.0,1.0
A81067,601022.0,355.0,1467.78,1368.99,31577.0,0.0
A81070,601022.0,185.0,782.04,732.66,14285.0,0.0
A81602,601022.0,94.0,268.82,250.96,7428.0,3.0
A81608,601022.0,159.0,549.79,513.04,12506.0,2.0
A81610,601022.0,250.0,1064.29,991.64,21928.0,1.0
A81611,601022.0,196.0,942.09,878.28,16846.0,1.0
A81612,601022.0,116.0,433.64,404.42,11141.0,1.0
A81618,601022.0,319.0,1050.31,981.65,28078.0,3.0
A81621,601022.0,70.0,204.05,191.57,4305.0,0.0
A81622,601022.0,94.0,315.88,295.86,8680.0,2.0
A81629,601022.0,205.0,892.74,831.76,16240.0,2.0
A81631,601022.0,138.0,830.92,772.1,19274.0,2.0
A81633,601022.0,6.0,29.74,27.72,424.0,0.0
A81634,601022.0,29.0,114.54,106.65,2408.0,0.0
A82003,601022.0,263.0,1403.73,1307.48,31482.0,3.0
A82004,601022.0,88.0,293.74,273.68,6139.0,3.0
A82005,601022.0,140.0,645.42,601.18,13111.0,3.0
A82006,601022.0,159.0,609.65,568.08,14058.0,3.0
A82007,601022.0,263.0,963.06,898.53,26380.0,2.0
