PRACTICE,SUB_CHAPTER,ITEMS,NIC,ACT COST,QUANTITY,ClusterNumber
discrete,continuous,continuous,continuous,continuous,continuous,continuous
,,,,,,
A81001,601021.0,67.0,263.24,245.9,5294.0,3.0
A81002,601021.0,225.0,806.9,751.69,18933.0,3.0
A81004,601021.0,139.0,468.89,439.26,7808.0,1.0
A81005,601021.0,97.0,254.4,238.15,6370.0,3.0
A81006,601021.0,199.0,535.06,500.63,12940.0,2.0
A81007,601021.0,121.0,492.69,459.63,9297.0,2.0
A81009,601021.0,92.0,199.84,187.14,5885.0,2.0
A81011,601021.0,83.0,285.56,267.53,6337.0,2.0
A81012,601021.0,63.0,138.8,131.23,2730.0,2.0
A81013,601021.0,103.0,278.6,259.44,7796.0,2.0
A81014,601021.0,74.0,197.84,185.65,4516.0,3.0
A81015,601021.0,23.0,54.34,50.71,2002.0,1.0
A81016,601021.0,98.0,192.87,181.84,5194.0,2.0
A81017,601021.0,178.0,525.64,491.59,9462.0,1.0
A81018,601021.0,178.0,413.19,391.82,9352.0,3.0
A81019,601021.0,111.0,254.27,237.58,8072.0,2.0
A81020,601021.0,76.0,224.84,210.5,4319.0,3.0
A81021,601021.0,193.0,539.91,509.85,8801.0,2.0
A81022,601021.0,165.0,451.98,422.24,11954.0,1.0
A81023,601021.0,58.0,282.4,263.66,5352.0,2.0
A81025,601021.0,65.0,243.21,227.08,4120.0,1.0
A81026,601021.0,114.0,353.16,328.71,10570.0,2.0
A81027,601021.0,111.0,364.06,338.96,8076.0,1.0
A81029,601021.0,100.0,251.58,237.91,5513.0,2.0
A81030,601021.0,86.0,403.68,376.6,6469.0,1.0
A81031,601021.0,158.0,810.24,755.83,10700.0,2.0
A81032,601021.0,137.0,303.39,283.51,9738.0,3.0
A81033,601021.0,38.0,132.2,123.82,2380.0,2.0
A81034,601021.0,242.0,751.22,700.41,20842.0,1.0
A81035,601021.0,112.0,337.35,316.19,7834.0,2.0
A81036,601021.0,217.0,796.13,741.29,14366.0,1.0
A81037,601021.0,134.0,414.83,391.91,6378.0,2.0
A81038,601021.0,60.0,121.65,115.32,2779.0,2.0
A81039,601021.0,134.0,363.02,339.56,7966.0,1.0
A81040,601021.0,107.0,369.32,347.39,8523.0,1.0
A81041,601021.0,71.0,238.55,222.52,7520.0,2.0
A81042,601021.0,228.0,776.8,728.57,12217.0,2.0
A81043,601021.0,120.0,270.27,254.9,6521.0,1.0
A81044,601021.0,283.0,654.97,618.79,15346.0,1.0
A81045,601021.0,132.0,286.79,269.56,6874.0,3.0
A81046,601021.0,130.0,390.92,364.36,10038.0,1.0
A81048,601021.0,144.0,277.67,262.18,7987.0,3.0
A81049,601021.0,213.0,494.32,469.29,11440.0,2.0
A81051,601021.0,29.0,115.93,108.04,3080.0,1.0
A81052,601021.0,135.0,297.7,278.49,9914.0,3.0
A81053,601021.0,132.0,250.9,239.62,7337.0,2.0
A81054,601021.0,104.0,191.04,180.33,6014.0,1.0
A81056,601021.0,54.0,84.74,80.07,2228.0,3.0
A81057,601021.0,151.0,395.31,370.31,8722.0,1.0
A81058,601021.0,70.0,292.86,272.42,6258.0,1.0
A81060,601021.0,21.0,81.03,75.5,1766.0,1.0
A81063,601021.0,61.0,196.14,183.22,4430.0,2.0
A81064,601021.0,58.0,142.63,135.32,3934.0,0.0
A81065,601021.0,54.0,76.74,74.76,1876.0,2.0
A81066,601021.0,51.0,172.05,159.48,2872.0,1.0
A81067,601021.0,144.0,589.47,548.27,10544.0,0.0
A81070,601021.0,60.0,112.22,106.48,2517.0,0.0
A81602,601021.0,49.0,161.24,150.46,4120.0,3.0
A81608,601021.0,56.0,173.33,162.73,2694.0,2.0
A81610,601021.0,87.0,262.35,245.27,6288.0,1.0
A81611,601021.0,53.0,158.58,148.24,4481.0,1.0
A81612,601021.0,53.0,145.27,136.2,3290.0,1.0
A81618,601021.0,124.0,316.38,296.16,8404.0,3.0
A81621,601021.0,15.0,21.55,20.75,794.0,0.0
A81622,601021.0,34.0,135.81,128.23,2055.0,2.0
A81629,601021.0,76.0,304.28,283.0,4470.0,2.0
A81631,601021.0,45.0,171.59,160.0,4968.0,2.0
A81633,601021.0,1.0,1.52,1.42,56.0,0.0
A81634,601021.0,18.0,62.18,57.81,1288.0,0.0
A82003,601021.0,153.0,490.52,462.66,11005.0,3.0
A82004,601021.0,28.0,69.56,65.01,1262.0,3.0
A82005,601021.0,53.0,185.64,172.98,4124.0,3.0
A82006,601021.0,102.0,277.64,259.84,5425.0,3.0
A82007,601021.0,113.0,268.7,251.67,7534.0,2.0
A82008,601021.0,193.0,661.31,617.0,13406.0,3.0
A82009,601021.0,160.0,398.31,372.22,12056.0,2.0
A82010,601021.0,96.0,207.47,197.35,5398.0,1.0
