PRACTICE,SUB_CHAPTER,ITEMS,NIC,ACT COST,QUANTITY,ClusterNumber
discrete,continuous,continuous,continuous,continuous,continuous,continuous
,,,,,,
A81001,704050.0,28.0,238.41,221.18,176.0,3.0
A81002,704050.0,137.0,1702.16,1578.35,1334.0,3.0
A81004,704050.0,80.0,873.13,810.03,526.0,1.0
A81005,704050.0,84.0,687.22,637.7,616.0,3.0
A81006,704050.0,82.0,768.39,712.71,412.0,2.0
A81007,704050.0,67.0,308.54,286.73,318.0,2.0
A81009,704050.0,60.0,748.74,694.34,360.0,2.0
A81011,704050.0,69.0,679.25,630.01,484.0,2.0
A81012,704050.0,49.0,234.18,217.51,296.0,2.0
A81013,704050.0,45.0,294.41,273.25,304.0,2.0
A81014,704050.0,26.0,207.52,192.54,120.0,3.0
A81015,704050.0,33.0,548.57,508.53,268.0,1.0
A81016,704050.0,49.0,754.44,699.4,224.0,2.0
A81017,704050.0,103.0,1454.65,1349.07,730.0,1.0
A81018,704050.0,82.0,828.18,768.35,485.0,3.0
A81019,704050.0,71.0,535.15,496.77,479.0,2.0
A81020,704050.0,52.0,828.9,768.4,448.0,3.0
A81021,704050.0,96.0,1273.47,1180.82,806.0,2.0
A81022,704050.0,105.0,979.2,908.71,600.0,1.0
A81023,704050.0,45.0,439.32,407.59,359.0,2.0
A81025,704050.0,21.0,286.61,265.74,152.0,1.0
A81026,704050.0,134.0,1491.11,1382.82,968.0,2.0
A81027,704050.0,112.0,1065.85,988.76,702.0,1.0
A81029,704050.0,26.0,342.01,317.21,160.0,2.0
A81030,704050.0,106.0,1987.63,1842.57,848.0,1.0
A81031,704050.0,98.0,1243.59,1153.5,740.0,2.0
A81032,704050.0,102.0,1012.18,938.92,719.0,3.0
A81033,704050.0,22.0,386.78,358.54,200.0,2.0
A81034,704050.0,210.0,2019.04,1873.87,1566.0,1.0
A81035,704050.0,87.0,1064.77,987.46,588.0,2.0
A81036,704050.0,159.0,2393.21,2219.34,1089.0,1.0
A81037,704050.0,46.0,227.27,211.16,220.0,2.0
A81038,704050.0,15.0,167.61,155.45,62.0,2.0
A81039,704050.0,85.0,1035.62,960.35,658.0,1.0
A81040,704050.0,38.0,275.27,255.43,236.0,1.0
A81041,704050.0,48.0,696.85,646.04,404.0,2.0
A81042,704050.0,86.0,799.47,741.61,598.0,2.0
A81043,704050.0,66.0,423.18,392.86,374.0,1.0
A81044,704050.0,140.0,1058.27,982.89,656.0,1.0
A81045,704050.0,78.0,454.58,422.13,398.0,3.0
A81046,704050.0,93.0,717.19,665.7,563.0,1.0
A81048,704050.0,96.0,928.75,861.46,620.0,3.0
A81049,704050.0,58.0,661.49,613.43,536.0,2.0
A81051,704050.0,51.0,711.1,659.3,440.0,1.0
A81052,704050.0,89.0,911.86,845.85,740.0,3.0
A81053,704050.0,71.0,847.55,785.94,632.0,2.0
A81054,704050.0,59.0,380.1,353.01,330.0,1.0
A81057,704050.0,63.0,726.73,674.02,487.0,1.0
A81058,704050.0,49.0,402.97,373.87,352.0,1.0
A81060,704050.0,17.0,95.91,89.06,112.0,1.0
A81063,704050.0,16.0,101.13,93.87,84.0,2.0
A81064,704050.0,27.0,607.99,563.54,232.0,0.0
A81065,704050.0,13.0,157.38,145.93,116.0,2.0
A81066,704050.0,50.0,462.23,428.34,296.0,1.0
A81067,704050.0,63.0,1147.11,1063.34,436.0,0.0
A81070,704050.0,27.0,505.54,468.6,1076.0,0.0
A81602,704050.0,12.0,159.19,147.59,88.0,3.0
A81608,704050.0,40.0,206.7,191.95,180.0,2.0
A81610,704050.0,49.0,625.69,580.27,330.0,1.0
A81611,704050.0,51.0,523.23,485.31,452.0,1.0
A81612,704050.0,12.0,132.84,123.19,108.0,1.0
A81618,704050.0,78.0,891.33,827.59,492.0,3.0
A81621,704050.0,11.0,37.42,34.79,44.0,0.0
A81622,704050.0,20.0,411.91,381.8,158.0,2.0
A81629,704050.0,40.0,2083.59,1930.59,834.0,2.0
A81631,704050.0,32.0,605.76,561.5,240.0,2.0
A81633,704050.0,1.0,1.74,1.62,8.0,0.0
A81634,704050.0,8.0,63.07,58.52,36.0,0.0
A82003,704050.0,67.0,801.78,743.49,576.0,3.0
A82004,704050.0,20.0,294.68,273.07,200.0,3.0
A82005,704050.0,31.0,714.83,662.5,308.0,3.0
A82006,704050.0,28.0,381.89,354.08,344.0,3.0
A82007,704050.0,74.0,594.4,551.61,360.0,2.0
A82008,704050.0,113.0,1471.4,1364.45,626.0,3.0
A82009,704050.0,102.0,563.03,522.79,580.0,2.0
A82010,704050.0,44.0,589.54,546.61,278.0,1.0
A82012,704050.0,136.0,902.21,836.65,1010.0,3.0
A82013,704050.0,38.0,248.03,229.93,192.0,3.0
A82014,704050.0,34.0,91.46,85.05,172.0,3.0
