PRACTICE,SUB_CHAPTER,ITEMS,NIC,ACT COST,QUANTITY,ClusterNumber
A81001,601023,49,2172.52,2013.08,1652,3
A81002,601023,312,13582.5,12588.1,10240,3
A81004,601023,143,5758.45,5338.08,4008,1
A81005,601023,68,3065.44,2840.33,1448,3
A81006,601023,201,7508.8,6960.05,5638,2
A81007,601023,68,3199.32,2964.48,1909,2
A81009,601023,148,5086.52,4715.18,3516,2
A81011,601023,117,6262.03,5803.25,3893,2
A81012,601023,106,3141.52,2914.36,2180,2
A81013,601023,73,2758.58,2556.21,1706,2
A81014,601023,59,2203.4,2041.71,1708,3
A81015,601023,41,1977.89,1832.79,867,1
A81016,601023,184,6734.59,6243.51,4583,2
A81017,601023,240,8807.7,8163.27,6069,1
A81018,601023,134,5208.71,4827.95,2692,3
A81019,601023,95,4342.45,4024.41,2632,2
A81020,601023,109,4451.26,4125.23,2599,3
A81021,601023,294,9464.54,8777.07,6875,2
A81022,601023,105,3748.42,3473.76,2808,1
A81023,601023,65,2884.41,2674.19,2130,2
A81025,601023,41,1254.23,1162.27,1496,1
A81026,601023,196,8956.13,8299.07,4958,2
A81027,601023,94,4154.97,3851.01,2524,1
A81029,601023,104,3493.73,3242.28,1913,2
A81030,601023,124,6202.43,5747.91,4324,1
A81031,601023,108,6184.05,5731.48,3550,2
A81032,601023,119,3994.65,3702.33,3126,3
A81033,601023,57,2284.46,2118.18,1338,2
A81034,601023,233,9511.25,8814.02,6611,1
A81035,601023,93,4199.36,3892.54,2564,2
A81036,601023,139,5747.86,5326.95,3235,1
A81037,601023,105,3247.57,3010.99,2667,2
A81038,601023,71,2236.25,2074.54,1975,2
A81039,601023,95,3397.32,3148.27,2412,1
A81040,601023,88,4311.94,3995.7,2474,1
A81041,601023,99,4135.42,3832.77,3615,2
A81042,601023,177,6697.21,6207.79,3754,2
A81043,601023,122,4390.51,4070.94,2370,1
A81044,601023,174,6096.2,5653.22,3863,1
A81045,601023,91,3440.74,3189.91,1902,3
A81046,601023,146,5973.06,5535.57,4830,1
A81048,601023,88,2524.51,2341.69,1771,3
A81049,601023,164,4962.45,4603.14,3852,2
A81051,601023,64,3122.12,2894.06,2100,1
A81052,601023,107,3832.43,3552.05,2642,3
A81053,601023,85,3235.89,2999.47,1911,2
A81054,601023,108,4483.3,4155.59,2335,1
A81056,601023,39,1501.9,1391.86,1047,3
A81057,601023,81,4105.92,3804.36,1840,1
A81058,601023,61,2780.62,2577.29,1528,1
A81060,601023,97,3637.25,3371.7,3603,1
A81063,601023,94,3331.27,3089.06,2126,2
A81064,601023,90,3716.76,3445.14,2232,0
A81065,601023,106,3427.4,3179.25,2040,2
A81066,601023,65,2759.48,2556.22,1493,1
A81067,601023,97,4179.91,3873.79,2488,0
A81070,601023,54,2174.9,2016.27,1395,0
A81602,601023,46,1748.19,1619.9,1139,3
A81608,601023,93,3551.83,3293.27,2704,2
A81610,601023,83,3824.72,3544.51,1821,1
A81611,601023,85,3051.77,2831.11,1949,1
A81612,601023,32,1537.05,1424.75,896,1
A81618,601023,53,2418.47,2240.95,1673,3
A81621,601023,38,1470.97,1363.93,1086,0
A81622,601023,70,2352.31,2183.09,3120,2
A81629,601023,81,3031.01,2809.48,2111,2
A81631,601023,34,2029.26,1880.17,969,2
A81633,601023,1,36.59,33.91,28,0
A81634,601023,10,411.17,380.97,264,0
A82003,601023,38,1800.58,1669.24,1457,3
A82004,601023,16,657.36,609.04,374,3
A82005,601023,39,1516.52,1405.22,1033,3
A82006,601023,50,1086.83,1008.03,1399,3
A82007,601023,65,2513.56,2329.88,1857,2
A82008,601023,86,3550.21,3290.19,2530,3
A82009,601023,67,2076.89,1925.13,1837,2
A82010,601023,20,1155.69,1070.74,850,1
A82012,601023,138,4663.6,4321.58,3496,3
