PRACTICE,SUB_CHAPTER,ITEMS,NIC,ACT COST,QUANTITY,ClusterNumber
A81001,601011,14,835.97,774.51,124,3
A81001,601012,30,1440.11,1334.54,233,3
A81002,601011,67,3222.04,2985.36,476,3
A81002,601012,169,7694.32,7129.67,1286,3
A81004,601011,40,1632.21,1512.38,215,1
A81004,601012,70,3304.67,3062.13,517,1
A81005,601011,30,1126.11,1043.49,174,3
A81005,601012,69,2537.25,2351.36,401,3
A81006,601011,55,2546.02,2359.12,390,2
A81006,601012,167,7120.35,6598.79,1251,2
A81007,601011,40,2052.57,1902.04,279,2
A81007,601012,97,4919.77,4558.89,831,2
A81009,601011,39,1337.26,1239.18,220,2
A81009,601012,85,3332.27,3088.17,514,2
A81011,601011,40,2206.24,2044.11,300,2
A81011,601012,111,5491.37,5088.16,988,2
A81012,601011,11,621.99,576.27,105,2
A81012,601012,47,2306.94,2137.85,360,2
A81013,601011,28,1361.77,1261.76,203,2
A81013,601012,61,2638.68,2445,402,2
A81014,601011,21,1005.74,931.86,145,3
A81014,601012,40,1728.51,1601.79,257,3
A81015,601011,14,579.86,537.3,110,1
A81015,601012,24,1188.94,1101.6,163,1
A81016,601011,38,1453.12,1346.51,234,2
A81016,601012,86,3996.43,3702.88,589,2
A81017,601011,76,3991.28,3698.2,676,1
A81017,601012,161,7503.6,6953.25,1208,1
A81018,601011,46,1910.39,1770.12,315,3
A81018,601012,108,5411.58,5014.07,814,3
A81019,601011,32,1437.97,1332.38,255,2
A81019,601012,115,5282.39,4895.83,790,2
A81020,601011,24,898.7,832.85,154,3
A81020,601012,60,2614.36,2422.67,400,3
A81021,601011,47,1977.51,1832.45,297,2
A81021,601012,136,6298.58,5836.14,1015,2
A81022,601011,43,1667.83,1545.51,250,1
A81022,601012,103,5002.49,4635.5,734,1
A81023,601011,22,1559.16,1444.61,272,2
A81023,601012,65,2810.49,2604.53,415,2
A81025,601011,10,529.73,490.8,84,1
A81025,601012,25,1110.12,1028.58,200,1
A81026,601011,45,2351.36,2178.6,401,2
A81026,601012,110,5339.32,4947.71,866,2
A81027,601011,43,1988.17,1842.14,307,1
A81027,601012,68,3445.18,3192.07,570,1
A81029,601011,17,976.6,904.85,126,2
A81029,601012,38,2475.18,2293.15,388,2
A81030,601011,27,1333.36,1235.41,203,1
A81030,601012,76,4001.82,3707.94,638,1
A81031,601011,42,2242.24,2077.89,295,2
A81031,601012,95,4500.09,4170.71,788,2
A81032,601011,49,2435.13,2256.26,345,3
A81032,601012,99,5607.29,5195.27,752,3
A81033,601011,15,841.39,779.65,138,2
A81033,601012,37,1460.58,1353.46,240,2
A81034,601011,86,4106.66,3805.2,582,1
A81034,601012,179,8014.08,7426.67,1350,1
A81035,601011,31,1362.26,1262.34,234,2
A81035,601012,94,3905.83,3619.65,605,2
A81036,601011,67,3257.14,3017.88,489,1
A81036,601012,183,7945.22,7362.88,1361,1
A81037,601011,37,1922.86,1781.65,299,2
A81037,601012,57,3248.38,3009.72,491,2
A81038,601011,8,415.8,385.25,61,2
A81038,601012,46,2315.5,2145.48,344,2
A81039,601011,32,2072.58,1920.21,243,1
A81039,601012,53,2508.72,2324.42,380,1
A81040,601011,29,1230.14,1139.83,179,1
A81040,601012,66,3255.7,3016.96,560,1
A81041,601011,27,1166.47,1080.85,194,2
A81041,601012,91,4667.19,4324.27,800,2
A81042,601011,51,2407.35,2230.53,351,2
A81042,601012,136,6564.64,6082.71,1096,2
A81043,601011,46,2070.98,1919.12,378,1
A81043,601012,81,3981.04,3688.94,584,1
A81044,601011,51,2089.53,1936.23,304,1
A81044,601012,165,7939.59,7356.92,1400,1
A81045,601011,35,1477.98,1369.66,220,3
A81045,601012,104,4293.28,3978.87,699,3
A81046,601011,47,2752.47,2550.38,423,1
A81046,601012,85,4169.35,3863.24,669,1
A81048,601011,36,1738.42,1610.73,282,3
A81048,601012,74,3765.76,3489.28,569,3
A81049,601011,21,996.45,923.28,161,2
A81049,601012,63,3136.95,2907.08,481,2
A81051,601011,24,1214.12,1124.91,205,1
A81051,601012,65,2720.52,2520.81,445,1
A81052,601011,39,1391.08,1289.14,211,3
A81052,601012,95,3641.58,3374.49,591,3
A81053,601011,22,1057.89,980.21,147,2
A81053,601012,65,2473.78,2292.42,417,2
A81054,601011,34,1277.12,1183.6,213,1
A81054,601012,102,4458.03,4131.11,653,1
A81056,601011,5,212.57,196.96,29,3
A81056,601012,22,886.36,821.3,160,3
A81057,601011,43,2226.56,2062.93,331,1
A81057,601012,88,4191.58,3883.89,723,1
A81058,601011,28,1745.44,1617.25,247,1
A81058,601012,72,3427,3175.55,551,1
A81060,601011,17,974.66,903.03,137,1
A81060,601012,43,2227.24,2063.61,374,1
A81063,601011,17,761.68,705.85,109,2
A81063,601012,58,2990.61,2771.15,514,2
A81064,601011,15,694.63,643.91,96,0
A81064,601012,32,1571.15,1456,288,0
A81065,601011,14,496.69,460.36,96,2
A81065,601012,36,1392.38,1290.38,219,2
A81066,601011,20,959.57,888.93,118,1
A81066,601012,37,1609.55,1491.1,275,1
A81067,601011,27,1273.16,1179.64,200,0
A81067,601012,85,3779.17,3501.9,688,0
A81070,601011,41,1905.16,1765.25,287,0
A81070,601012,63,2969.34,2751.33,476,0
A81602,601011,12,439.96,407.68,65,3
A81602,601012,33,1324.25,1227.06,235,3
A81608,601011,24,826.49,766.36,123,2
A81608,601012,42,1886.22,1748.4,294,2
A81610,601011,39,1943.08,1800.33,312,1
A81610,601012,76,3202.65,2967.49,525,1
A81611,601011,21,837.08,775.75,127,1
A81611,601012,37,1852.36,1716.69,267,1
A81612,601011,16,779.24,722,106,1
A81612,601012,43,1940.06,1797.58,331,1
A81618,601011,33,1259.35,1166.94,193,3
A81618,601012,89,3763.87,3487.49,558,3
A81621,601011,4,120.12,111.32,20,0
A81621,601012,25,1084.3,1004.65,159,0
A81622,601011,14,572.48,530.46,88,2
A81622,601012,52,2596.19,2405.45,440,2
A81629,601011,17,865.79,802.18,119,2
A81629,601012,43,1717.65,1591.67,297,2
A81631,601011,12,531.4,492.39,80,2
A81631,601012,54,2113.84,1958.78,410,2
A81633,601011,1,5.89,5.57,1,0
A81633,601012,1,21.7,20.11,5,0
A81634,601011,1,91.8,85.04,15,0
A81634,601012,7,262.89,243.59,45,0
A82003,601011,42,2248.97,2083.73,368,3
A82003,601012,70,3250.61,3011.81,585,3
A82004,601011,14,557.45,516.48,90,3
A82004,601012,22,838.78,777.05,135,3
A82005,601011,15,623.38,577.64,92,3
A82005,601012,24,970.56,899.32,152,3
A82006,601011,21,836.13,774.76,130,3
A82006,601012,25,1002.84,929.21,165,3
A82007,601011,45,2233.22,2069.37,283,2
A82007,601012,69,2553.51,2366.64,442,2
A82008,601011,62,3330.51,3085.76,541,3
A82008,601012,94,4325.9,4008.14,650,3
A82009,601011,52,2080.68,1927.94,303,2
A82009,601012,84,3600.41,3336.15,572,2
A82010,601011,27,1445.17,1338.98,217,1
A82010,601012,57,2805.9,2599.75,490,1
A82012,601011,83,3559.41,3297.53,541,3
A82012,601012,124,5186.37,4804.74,762,3
A82013,601011,41,1448.05,1341.47,233,3
A82013,601012,80,3485.72,3229.15,550,3
A82014,601011,19,771.52,714.74,120,3
A82014,601012,31,1187.8,1100.29,187,3
A82015,601011,25,1307.45,1211.36,205,2
A82015,601012,37,1641.45,1520.9,231,2
A82016,601011,157,8714.91,8074.45,1389,1
A82016,601012,332,18113.5,16782.44,2795,1
A82018,601011,64,2927.52,2712.63,446,1
A82018,601012,97,4454.51,4127.43,687,1
