PRACTICE,SUB_CHAPTER,Items,NIC,ACT COST,QUANTITY,ClusterNumber
A81001,601022,142,784.62,730.55,17745,3
A81002,601022,663,2774.38,2584.53,66029,3
A81004,601022,298,1284.33,1197.22,28399,1
A81005,601022,259,1016.92,947.99,22962,3
A81006,601022,554,2046.98,1909.15,45956,2
A81007,601022,267,1209.89,1129.4,27427,2
A81009,601022,358,1137.94,1064.47,26838,2
A81011,601022,301,1275.18,1187.8,36869,2
A81012,601022,257,800.91,755.57,17444,2
A81013,601022,227,982.32,915.93,16474,2
A81014,601022,128,591.96,552.52,9186,3
A81015,601022,83,349.56,325.01,7336,1
A81016,601022,352,1235.82,1154.99,29384,2
A81017,601022,612,2148.87,2012.37,45094,1
A81018,601022,484,1399.77,1314.68,34085,3
A81019,601022,334,1530.78,1425.88,32993,2
A81020,601022,268,1030.8,962.15,22706,3
A81021,601022,645,2619.12,2447.93,48469,2
A81022,601022,391,1562.19,1457.22,31582,1
A81023,601022,170,965.7,899.93,20738,2
A81025,601022,144,659.38,615.86,12828,1
A81026,601022,399,1558.07,1452.53,38240,2
A81027,601022,282,1265.88,1179.55,28387,1
A81029,601022,231,664.42,624.09,18469,2
A81030,601022,367,1724.99,1611.77,37694,1
A81031,601022,319,1839.86,1712.51,33910,2
A81032,601022,362,1260.34,1176.04,28866,3
A81033,601022,182,747.78,700.79,14873,2
A81034,601022,627,2708.16,2525.45,56732,1
A81035,601022,287,1202.32,1120.83,28839,2
A81036,601022,556,2464.52,2294.65,51503,1
A81037,601022,293,1126.3,1052.79,29804,2
A81038,601022,235,835.26,786.61,14497,2
A81039,601022,301,1032.18,961.92,24764,1
A81040,601022,214,804.32,752.29,24471,1
A81041,601022,314,1638.97,1526.9,39920,2
A81042,601022,670,2987.38,2793.44,45022,2
A81043,601022,331,1148.33,1073.09,25606,1
A81044,601022,679,1800.05,1694.61,47079,1
A81045,601022,309,1153.7,1078.1,22640,3
A81046,601022,342,1801.5,1676.02,35078,1
A81048,601022,372,1341.02,1256.26,26665,3
A81049,601022,347,1123.74,1058.42,21323,2
A81051,601022,167,783.47,730.08,18686,1
A81052,601022,369,1662.73,1552.03,30631,3
A81053,601022,301,778.72,737.33,18877,2
A81054,601022,341,1159.79,1086.05,23793,1
A81056,601022,117,341.95,318.81,10164,3
A81057,601022,290,1189.1,1108.05,27272,1
A81058,601022,227,1039.38,968.05,23033,1
A81060,601022,131,575.41,537.44,13592,1
A81063,601022,224,1055.35,983.41,20795,2
A81064,601022,151,725.8,675.47,15507,0
A81065,601022,241,622.78,586.06,15045,2
A81066,601022,140,662.11,614.22,13412,1
A81067,601022,355,1467.78,1368.99,31577,0
A81070,601022,185,782.04,732.66,14285,0
A81602,601022,94,268.82,250.96,7428,3
A81608,601022,159,549.79,513.04,12506,2
A81610,601022,250,1064.29,991.64,21928,1
A81611,601022,196,942.09,878.28,16846,1
A81612,601022,116,433.64,404.42,11141,1
A81618,601022,319,1050.31,981.65,28078,3
A81621,601022,70,204.05,191.57,4305,0
A81622,601022,94,315.88,295.86,8680,2
A81629,601022,205,892.74,831.76,16240,2
A81631,601022,138,830.92,772.1,19274,2
A81633,601022,6,29.74,27.72,424,0
A81634,601022,29,114.54,106.65,2408,0
A82003,601022,263,1403.73,1307.48,31482,3
A82004,601022,88,293.74,273.68,6139,3
A82005,601022,140,645.42,601.18,13111,3
A82006,601022,159,609.65,568.08,14058,3
A82007,601022,263,963.06,898.53,26380,2
A82008,601022,432,1639.72,1532.39,38594,3
A82009,601022,434,1378.34,1284.51,36880,2
A82010,601022,257,1100.26,1027.06,24717,1
A82012,601022,526,1982.97,1844.55,43068,3
A82013,601022,296,1356.66,1260.24,22924,3
A82014,601022,136,371.98,345.2,9686,3
A82015,601022,205,932.26,871.3,23003,2
A82016,601022,688,3177.51,2958.33,87810,1
A82018,601022,217,1654.43,1537.37,29775,1
A82019,601022,240,955.27,891.74,21806,1
A82020,601022,306,1482.03,1381.21,41584,1
A82021,601022,450,1709.5,1593.63,37761,3
A82022,601022,157,613.72,569.2,12320,3
A82023,601022,205,605.31,561.71,14743,3
A82024,601022,244,1157.66,1074.14,22672,3
A82025,601022,275,1443.32,1344.96,19556,1
A82026,601022,505,1835.12,1708.2,40336,3
A82027,601022,357,1401.1,1304.96,27782,3
A82028,601022,193,703.32,654.65,14792,3
A82029,601022,97,199.55,184.94,6209,3
A82030,601022,180,480.45,447.59,10402,3
A82031,601022,109,270.85,250.91,8862,3
A82032,601022,560,2040.5,1902.09,47894,3
A82033,601022,271,1101.35,1025.32,32194,3
A82034,601022,199,788.76,733.38,17948,3
A82035,601022,258,1000.08,933.68,29306,3
A82036,601022,228,1285.31,1197.18,20734,3
A82037,601022,165,661.1,615.22,14756,3
A82038,601022,108,450.4,417.75,8931,3
A82039,601022,211,957.5,890.74,25162,3
A82041,601022,389,1257.94,1176.36,34508,2
A82044,601022,778,3392.8,3163.48,64643,3
A82045,601022,239,895.26,833.65,23072,3
A82046,601022,151,583.72,544.76,13186,1
A82047,601022,301,1082.54,1009.02,25874,3
A82048,601022,221,635.39,595,17920,2
A82049,601022,160,980.93,912.83,16446,1
A82050,601022,226,1045.95,973.78,18732,3
A82053,601022,124,449.62,419.91,9618,3
A82055,601022,307,1017.19,947.61,26475,3
A82058,601022,138,440.93,411.14,11340,3
A82060,601022,216,535.78,499.09,18452,3
A82062,601022,151,915.27,850.28,19728,2
A82064,601022,238,723.54,674.44,20910,3
A82065,601022,140,415.3,388.96,10570,3
A82068,601022,94,391.41,364.72,10436,3
A82070,601022,162,529.94,494.07,12656,3
A82071,601022,168,552.26,519.91,12708,1
A82072,601022,250,621.49,581.28,19064,3
A82074,601022,78,307.03,286.18,6144,3
A82075,601022,230,578.46,543.27,17048,2
A82077,601022,152,695.76,649.26,12982,1
A82608,601022,153,318.84,296.85,8470,3
A82613,601022,26,71.86,66.57,1512,3
A82617,601022,97,327.62,303.48,5866,3
A82621,601022,52,129.42,119.92,3976,3
