PRACTICE,SUB_CHAPTER,ITEMS,NIC,ACT COST,QUANTITY,ClusterNumber
A81001,601021,67,263.24,245.9,5294,3
A81002,601021,225,806.9,751.69,18933,3
A81004,601021,139,468.89,439.26,7808,1
A81005,601021,97,254.4,238.15,6370,3
A81006,601021,199,535.06,500.63,12940,2
A81007,601021,121,492.69,459.63,9297,2
A81009,601021,92,199.84,187.14,5885,2
A81011,601021,83,285.56,267.53,6337,2
A81012,601021,63,138.8,131.23,2730,2
A81013,601021,103,278.6,259.44,7796,2
A81014,601021,74,197.84,185.65,4516,3
A81015,601021,23,54.34,50.71,2002,1
A81016,601021,98,192.87,181.84,5194,2
A81017,601021,178,525.64,491.59,9462,1
A81018,601021,178,413.19,391.82,9352,3
A81019,601021,111,254.27,237.58,8072,2
A81020,601021,76,224.84,210.5,4319,3
A81021,601021,193,539.91,509.85,8801,2
A81022,601021,165,451.98,422.24,11954,1
A81023,601021,58,282.4,263.66,5352,2
A81025,601021,65,243.21,227.08,4120,1
A81026,601021,114,353.16,328.71,10570,2
A81027,601021,111,364.06,338.96,8076,1
A81029,601021,100,251.58,237.91,5513,2
A81030,601021,86,403.68,376.6,6469,1
A81031,601021,158,810.24,755.83,10700,2
A81032,601021,137,303.39,283.51,9738,3
A81033,601021,38,132.2,123.82,2380,2
A81034,601021,242,751.22,700.41,20842,1
A81035,601021,112,337.35,316.19,7834,2
A81036,601021,217,796.13,741.29,14366,1
A81037,601021,134,414.83,391.91,6378,2
A81038,601021,60,121.65,115.32,2779,2
A81039,601021,134,363.02,339.56,7966,1
A81040,601021,107,369.32,347.39,8523,1
A81041,601021,71,238.55,222.52,7520,2
A81042,601021,228,776.8,728.57,12217,2
A81043,601021,120,270.27,254.9,6521,1
A81044,601021,283,654.97,618.79,15346,1
A81045,601021,132,286.79,269.56,6874,3
A81046,601021,130,390.92,364.36,10038,1
A81048,601021,144,277.67,262.18,7987,3
A81049,601021,213,494.32,469.29,11440,2
A81051,601021,29,115.93,108.04,3080,1
A81052,601021,135,297.7,278.49,9914,3
A81053,601021,132,250.9,239.62,7337,2
A81054,601021,104,191.04,180.33,6014,1
A81056,601021,54,84.74,80.07,2228,3
A81057,601021,151,395.31,370.31,8722,1
A81058,601021,70,292.86,272.42,6258,1
A81060,601021,21,81.03,75.5,1766,1
A81063,601021,61,196.14,183.22,4430,2
A81064,601021,58,142.63,135.32,3934,0
A81065,601021,54,76.74,74.76,1876,2
A81066,601021,51,172.05,159.48,2872,1
A81067,601021,144,589.47,548.27,10544,0
A81070,601021,60,112.22,106.48,2517,0
A81602,601021,49,161.24,150.46,4120,3
A81608,601021,56,173.33,162.73,2694,2
A81610,601021,87,262.35,245.27,6288,1
A81611,601021,53,158.58,148.24,4481,1
A81612,601021,53,145.27,136.2,3290,1
A81618,601021,124,316.38,296.16,8404,3
A81621,601021,15,21.55,20.75,794,0
A81622,601021,34,135.81,128.23,2055,2
A81629,601021,76,304.28,283,4470,2
A81631,601021,45,171.59,160,4968,2
A81633,601021,1,1.52,1.42,56,0
A81634,601021,18,62.18,57.81,1288,0
A82003,601021,153,490.52,462.66,11005,3
A82004,601021,28,69.56,65.01,1262,3
A82005,601021,53,185.64,172.98,4124,3
A82006,601021,102,277.64,259.84,5425,3
A82007,601021,113,268.7,251.67,7534,2
A82008,601021,193,661.31,617,13406,3
A82009,601021,160,398.31,372.22,12056,2
A82010,601021,96,207.47,197.35,5398,1
A82012,601021,203,748.64,697.1,10184,3
A82013,601021,122,373.74,346.99,7402,3
A82014,601021,82,167.69,155.54,4482,3
A82015,601021,53,134.36,126.12,4106,2
A82016,601021,374,1596.5,1490.53,34263,1
A82018,601021,70,385.82,358.92,7540,1
A82019,601021,70,182.5,170.46,5100,1
A82020,601021,139,665.84,621.64,15892,1
A82021,601021,210,483.05,451.9,13558,3
A82022,601021,76,218.67,203.35,4060,3
A82023,601021,136,264.08,245.06,9090,3
A82024,601021,100,296.29,275.04,6262,3
A82025,601021,97,433.41,403.55,6781,1
A82026,601021,184,496.88,463.43,10942,3
A82027,601021,113,269.51,252.34,6002,3
A82028,601021,91,284.91,265.18,5854,3
A82029,601021,44,99.76,92.42,1989,3
A82030,601021,69,118.97,111.91,3150,3
A82031,601021,46,148.41,137.47,2346,3
A82032,601021,274,787.67,735.36,21746,3
A82033,601021,145,490.48,457.22,13376,3
A82034,601021,56,142.24,132.63,3572,3
A82035,601021,85,346.85,324.05,6806,3
A82036,601021,136,546.91,508.65,10602,3
A82037,601021,108,251.79,235.46,7568,3
A82038,601021,61,159.86,148.23,4828,3
A82039,601021,104,497.52,462.52,9250,3
A82041,601021,244,713.5,664.91,18027,2
A82044,601021,289,857.11,799.83,19540,3
A82045,601021,106,328.89,306.05,8709,3
A82046,601021,58,170.98,159.48,3469,1
A82047,601021,143,385.07,360.02,10092,3
A82048,601021,109,427.83,397.92,8044,2
A82049,601021,79,248.73,231.96,6278,1
A82050,601021,96,300.03,279.7,6267,3
A82053,601021,44,122.28,114.71,2971,3
A82055,601021,131,386.01,361.04,10461,3
A82058,601021,91,202.3,189.8,6052,3
A82060,601021,133,392.19,367.53,7497,3
A82062,601021,50,215.81,200.98,4496,2
A82064,601021,79,157.17,148.04,4600,3
A82065,601021,39,86.24,80.96,2794,3
A82068,601021,56,163.36,153.28,4311,3
A82070,601021,60,175.1,163.54,3084,3
A82071,601021,67,192.5,179.82,4478,1
A82072,601021,106,280.9,261.58,7014,3
A82074,601021,40,72.04,68.82,1659,3
A82075,601021,91,258.72,241.76,6697,2
A82077,601021,69,203.24,191.01,4668,1
A82608,601021,52,78.58,73.29,1859,3
A82613,601021,12,41.24,38.2,678,3
A82617,601021,16,35.64,33.01,589,3
A82621,601021,23,49.66,46.01,1638,3
A82623,601021,68,174.93,163.86,4830,3
A82629,601021,44,133.1,124.21,3082,2
A82631,601021,55,100.59,93.24,3227,3
A82646,601021,105,256.15,241.35,5700,3
A82647,601021,33,61.08,56.66,1484,3
A82650,601021,38,130.47,120.97,2566,3
A82651,601021,46,136.06,126.13,2304,3
A82654,601021,66,220.55,206.11,5764,1
A83001,601021,127,353.77,335.19,6765,1
A83003,601021,239,647.89,613.78,12426,2
