PRACTICE,SUB_CHAPTER,ITEMS,NIC,ACT COST,QUANTITY,ClusterNumber
A81001,704050,28,238.41,221.18,176,3
A81002,704050,137,1702.16,1578.35,1334,3
A81004,704050,80,873.13,810.03,526,1
A81005,704050,84,687.22,637.7,616,3
A81006,704050,82,768.39,712.71,412,2
A81007,704050,67,308.54,286.73,318,2
A81009,704050,60,748.74,694.34,360,2
A81011,704050,69,679.25,630.01,484,2
A81012,704050,49,234.18,217.51,296,2
A81013,704050,45,294.41,273.25,304,2
A81014,704050,26,207.52,192.54,120,3
A81015,704050,33,548.57,508.53,268,1
A81016,704050,49,754.44,699.4,224,2
A81017,704050,103,1454.65,1349.07,730,1
A81018,704050,82,828.18,768.35,485,3
A81019,704050,71,535.15,496.77,479,2
A81020,704050,52,828.9,768.4,448,3
A81021,704050,96,1273.47,1180.82,806,2
A81022,704050,105,979.2,908.71,600,1
A81023,704050,45,439.32,407.59,359,2
A81025,704050,21,286.61,265.74,152,1
A81026,704050,134,1491.11,1382.82,968,2
A81027,704050,112,1065.85,988.76,702,1
A81029,704050,26,342.01,317.21,160,2
A81030,704050,106,1987.63,1842.57,848,1
A81031,704050,98,1243.59,1153.5,740,2
A81032,704050,102,1012.18,938.92,719,3
A81033,704050,22,386.78,358.54,200,2
A81034,704050,210,2019.04,1873.87,1566,1
A81035,704050,87,1064.77,987.46,588,2
A81036,704050,159,2393.21,2219.34,1089,1
A81037,704050,46,227.27,211.16,220,2
A81038,704050,15,167.61,155.45,62,2
A81039,704050,85,1035.62,960.35,658,1
A81040,704050,38,275.27,255.43,236,1
A81041,704050,48,696.85,646.04,404,2
A81042,704050,86,799.47,741.61,598,2
A81043,704050,66,423.18,392.86,374,1
A81044,704050,140,1058.27,982.89,656,1
A81045,704050,78,454.58,422.13,398,3
A81046,704050,93,717.19,665.7,563,1
A81048,704050,96,928.75,861.46,620,3
A81049,704050,58,661.49,613.43,536,2
A81051,704050,51,711.1,659.3,440,1
A81052,704050,89,911.86,845.85,740,3
A81053,704050,71,847.55,785.94,632,2
A81054,704050,59,380.1,353.01,330,1
A81057,704050,63,726.73,674.02,487,1
A81058,704050,49,402.97,373.87,352,1
A81060,704050,17,95.91,89.06,112,1
A81063,704050,16,101.13,93.87,84,2
A81064,704050,27,607.99,563.54,232,0
A81065,704050,13,157.38,145.93,116,2
A81066,704050,50,462.23,428.34,296,1
A81067,704050,63,1147.11,1063.34,436,0
A81070,704050,27,505.54,468.6,1076,0
A81602,704050,12,159.19,147.59,88,3
A81608,704050,40,206.7,191.95,180,2
A81610,704050,49,625.69,580.27,330,1
A81611,704050,51,523.23,485.31,452,1
A81612,704050,12,132.84,123.19,108,1
A81618,704050,78,891.33,827.59,492,3
A81621,704050,11,37.42,34.79,44,0
A81622,704050,20,411.91,381.8,158,2
A81629,704050,40,2083.59,1930.59,834,2
A81631,704050,32,605.76,561.5,240,2
A81633,704050,1,1.74,1.62,8,0
A81634,704050,8,63.07,58.52,36,0
A82003,704050,67,801.78,743.49,576,3
A82004,704050,20,294.68,273.07,200,3
A82005,704050,31,714.83,662.5,308,3
A82006,704050,28,381.89,354.08,344,3
A82007,704050,74,594.4,551.61,360,2
A82008,704050,113,1471.4,1364.45,626,3
A82009,704050,102,563.03,522.79,580,2
A82010,704050,44,589.54,546.61,278,1
A82012,704050,136,902.21,836.65,1010,3
A82013,704050,38,248.03,229.93,192,3
A82014,704050,34,91.46,85.05,172,3
A82015,704050,33,745.28,690.86,234,2
A82016,704050,210,3184.91,2952.8,2368,1
A82018,704050,46,311.45,289.05,464,1
A82019,704050,33,39.6,37.1,208,1
A82020,704050,68,695.4,644.95,474,1
A82021,704050,130,1421.83,1319,1010,3
A82022,704050,35,110.11,102.09,164,3
A82023,704050,32,230.44,213.55,240,3
A82024,704050,38,536.52,497.16,282,3
A82025,704050,99,916.61,850.47,806,1
A82026,704050,150,1246.24,1156.04,943,3
A82027,704050,132,1136.5,1054.08,595,3
A82028,704050,75,633.31,587.39,562,3
A82029,704050,23,212.4,196.78,204,3
A82030,704050,77,528.37,489.88,368,3
A82031,704050,24,492.48,456.17,232,3
A82032,704050,106,1362.52,1263.48,646,3
A82033,704050,56,860.67,798,321,3
A82034,704050,42,396.56,367.51,296,3
A82035,704050,66,892.23,827.37,514,3
A82036,704050,53,479.09,444.74,414,3
A82037,704050,26,61.64,57.42,160,3
A82038,704050,39,390.66,362.01,308,3
A82039,704050,56,466.78,433.07,516,3
A82041,704050,112,987.18,915.81,540,2
A82044,704050,137,2091.01,1939,1046,3
A82045,704050,74,604.94,561.53,536,3
A82046,704050,45,216.84,201.4,244,1
A82047,704050,88,895.64,831.7,516,3
A82048,704050,61,573.92,532.37,419,2
A82049,704050,47,251.08,233.14,288,1
A82050,704050,64,1178.05,1092.1,560,3
A82053,704050,47,589.49,546.64,248,3
A82055,704050,50,348.85,324.11,337,3
A82058,704050,20,257.08,238.76,130,3
A82060,704050,40,177.99,165.43,618,3
A82062,704050,28,197.52,183.5,172,2
A82064,704050,59,298.06,277.03,250,3
A82065,704050,30,636.06,589.53,220,3
A82068,704050,29,408.5,378.83,276,3
A82070,704050,57,887.22,822.35,366,3
