PRACTICE,SUB_CHAPTER,ITEMS,NIC,ACT COST,QUANTITY,ClusterNumber
discrete,continuous,continuous,continuous,continuous,continuous,continuous
,,,,,,
A81001,601023.0,49.0,2172.52,2013.08,1652.0,3.0
A81002,601023.0,312.0,13582.5,12588.1,10240.0,3.0
A81004,601023.0,143.0,5758.45,5338.08,4008.0,1.0
A81005,601023.0,68.0,3065.44,2840.33,1448.0,3.0
A81006,601023.0,201.0,7508.8,6960.05,5638.0,2.0
A81007,601023.0,68.0,3199.32,2964.48,1909.0,2.0
A81009,601023.0,148.0,5086.52,4715.18,3516.0,2.0
A81011,601023.0,117.0,6262.03,5803.25,3893.0,2.0
A81012,601023.0,106.0,3141.52,2914.36,2180.0,2.0
A81013,601023.0,73.0,2758.58,2556.21,1706.0,2.0
A81014,601023.0,59.0,2203.4,2041.71,1708.0,3.0
A81015,601023.0,41.0,1977.89,1832.79,867.0,1.0
A81016,601023.0,184.0,6734.59,6243.51,4583.0,2.0
A81017,601023.0,240.0,8807.7,8163.27,6069.0,1.0
A81018,601023.0,134.0,5208.71,4827.95,2692.0,3.0
A81019,601023.0,95.0,4342.45,4024.41,2632.0,2.0
A81020,601023.0,109.0,4451.26,4125.23,2599.0,3.0
A81021,601023.0,294.0,9464.54,8777.07,6875.0,2.0
A81022,601023.0,105.0,3748.42,3473.76,2808.0,1.0
A81023,601023.0,65.0,2884.41,2674.19,2130.0,2.0
A81025,601023.0,41.0,1254.23,1162.27,1496.0,1.0
A81026,601023.0,196.0,8956.13,8299.07,4958.0,2.0
A81027,601023.0,94.0,4154.97,3851.01,2524.0,1.0
A81029,601023.0,104.0,3493.73,3242.28,1913.0,2.0
A81030,601023.0,124.0,6202.43,5747.91,4324.0,1.0
A81031,601023.0,108.0,6184.05,5731.48,3550.0,2.0
A81032,601023.0,119.0,3994.65,3702.33,3126.0,3.0
A81033,601023.0,57.0,2284.46,2118.18,1338.0,2.0
A81034,601023.0,233.0,9511.25,8814.02,6611.0,1.0
A81035,601023.0,93.0,4199.36,3892.54,2564.0,2.0
A81036,601023.0,139.0,5747.86,5326.95,3235.0,1.0
A81037,601023.0,105.0,3247.57,3010.99,2667.0,2.0
A81038,601023.0,71.0,2236.25,2074.54,1975.0,2.0
A81039,601023.0,95.0,3397.32,3148.27,2412.0,1.0
A81040,601023.0,88.0,4311.94,3995.7,2474.0,1.0
A81041,601023.0,99.0,4135.42,3832.77,3615.0,2.0
A81042,601023.0,177.0,6697.21,6207.79,3754.0,2.0
A81043,601023.0,122.0,4390.51,4070.94,2370.0,1.0
A81044,601023.0,174.0,6096.2,5653.22,3863.0,1.0
A81045,601023.0,91.0,3440.74,3189.91,1902.0,3.0
A81046,601023.0,146.0,5973.06,5535.57,4830.0,1.0
A81048,601023.0,88.0,2524.51,2341.69,1771.0,3.0
A81049,601023.0,164.0,4962.45,4603.14,3852.0,2.0
A81051,601023.0,64.0,3122.12,2894.06,2100.0,1.0
A81052,601023.0,107.0,3832.43,3552.05,2642.0,3.0
A81053,601023.0,85.0,3235.89,2999.47,1911.0,2.0
A81054,601023.0,108.0,4483.3,4155.59,2335.0,1.0
A81056,601023.0,39.0,1501.9,1391.86,1047.0,3.0
A81057,601023.0,81.0,4105.92,3804.36,1840.0,1.0
A81058,601023.0,61.0,2780.62,2577.29,1528.0,1.0
A81060,601023.0,97.0,3637.25,3371.7,3603.0,1.0
A81063,601023.0,94.0,3331.27,3089.06,2126.0,2.0
A81064,601023.0,90.0,3716.76,3445.14,2232.0,0.0
A81065,601023.0,106.0,3427.4,3179.25,2040.0,2.0
A81066,601023.0,65.0,2759.48,2556.22,1493.0,1.0
A81067,601023.0,97.0,4179.91,3873.79,2488.0,0.0
A81070,601023.0,54.0,2174.9,2016.27,1395.0,0.0
A81602,601023.0,46.0,1748.19,1619.9,1139.0,3.0
A81608,601023.0,93.0,3551.83,3293.27,2704.0,2.0
A81610,601023.0,83.0,3824.72,3544.51,1821.0,1.0
A81611,601023.0,85.0,3051.77,2831.11,1949.0,1.0
A81612,601023.0,32.0,1537.05,1424.75,896.0,1.0
A81618,601023.0,53.0,2418.47,2240.95,1673.0,3.0
A81621,601023.0,38.0,1470.97,1363.93,1086.0,0.0
A81622,601023.0,70.0,2352.31,2183.09,3120.0,2.0
A81629,601023.0,81.0,3031.01,2809.48,2111.0,2.0
A81631,601023.0,34.0,2029.26,1880.17,969.0,2.0
A81633,601023.0,1.0,36.59,33.91,28.0,0.0
A81634,601023.0,10.0,411.17,380.97,264.0,0.0
A82003,601023.0,38.0,1800.58,1669.24,1457.0,3.0
A82004,601023.0,16.0,657.36,609.04,374.0,3.0
A82005,601023.0,39.0,1516.52,1405.22,1033.0,3.0
A82006,601023.0,50.0,1086.83,1008.03,1399.0,3.0
