,Area Code,Indicator Name,Value
212113,A81001,% aged 65+ years,22.8192771084337
212114,A81002,% aged 65+ years,21.1354721914915
212115,A81004,% aged 65+ years,18.5408087847112
212116,A81005,% aged 65+ years,27.430949678395802
212117,A81006,% aged 65+ years,17.8620840311658
212118,A81007,% aged 65+ years,18.4827447429319
212119,A81009,% aged 65+ years,15.2740937223696
212120,A81011,% aged 65+ years,19.249829118250197
212121,A81012,% aged 65+ years,13.5265700483092
212122,A81013,% aged 65+ years,18.8229649768111
212123,A81014,% aged 65+ years,27.8616024973985
212124,A81015,% aged 65+ years,18.743633276740198
212125,A81016,% aged 65+ years,13.4551838083437
212126,A81017,% aged 65+ years,14.456226880394599
212127,A81018,% aged 65+ years,20.9023842617342
212128,A81019,% aged 65+ years,14.857255754223099
212129,A81020,% aged 65+ years,22.339077546882898
212130,A81021,% aged 65+ years,19.4619777577397
212131,A81022,% aged 65+ years,20.448736154501606
212132,A81023,% aged 65+ years,11.509677419354801
212133,A81025,% aged 65+ years,19.848076451849998
212134,A81026,% aged 65+ years,17.175763645468198
212135,A81027,% aged 65+ years,22.593476531424
212136,A81029,% aged 65+ years,12.9836629406707
212137,A81030,% aged 65+ years,19.3821112515803
212138,A81031,% aged 65+ years,18.409413994629602
212139,A81032,% aged 65+ years,23.9271904178063
212140,A81033,% aged 65+ years,14.754583086930802
212141,A81034,% aged 65+ years,12.794334069168501
212142,A81035,% aged 65+ years,15.3106796116505
212143,A81036,% aged 65+ years,19.294370823422803
212144,A81037,% aged 65+ years,13.428905792861302
212145,A81038,% aged 65+ years,12.4249699879952
212146,A81039,% aged 65+ years,18.592149305203396
212147,A81040,% aged 65+ years,16.7920379585696
212148,A81041,% aged 65+ years,19.609991235758105
212149,A81042,% aged 65+ years,16.189417106848303
212150,A81043,% aged 65+ years,21.2653562653563
212151,A81044,% aged 65+ years,18.2544624325446
212152,A81045,% aged 65+ years,21.667531120331997
212153,A81046,% aged 65+ years,20.3347606072402
212154,A81047,% aged 65+ years,27.907436708860804
212155,A81048,% aged 65+ years,27.068832173240494
212156,A81049,% aged 65+ years,16.0861759425494
212157,A81051,% aged 65+ years,20.160264563724198
212158,A81052,% aged 65+ years,20.865006553079894
212159,A81053,% aged 65+ years,21.7391304347826
212160,A81054,% aged 65+ years,18.609279761164306
212161,A81056,% aged 65+ years,20.6349206349206
212162,A81057,% aged 65+ years,16.4292175486205
212163,A81058,% aged 65+ years,17.838237104518
212164,A81060,% aged 65+ years,19.684899982297804
212165,A81063,% aged 65+ years,18.2322485207101
212166,A81064,% aged 65+ years,12.5761599750039
212167,A81065,% aged 65+ years,12.8894806924101
212168,A81066,% aged 65+ years,20.441988950276198
212169,A81067,% aged 65+ years,11.002218934911197
212170,A81070,% aged 65+ years,9.85533453887884
212171,A81602,% aged 65+ years,25.5276782158503
212172,A81608,% aged 65+ years,10.4903078677309
212173,A81610,% aged 65+ years,15.568410462776699
212174,A81611,% aged 65+ years,15.6856702619414
212175,A81612,% aged 65+ years,20.213769254951305
212176,A81618,% aged 65+ years,24.264797897634807
212177,A81621,% aged 65+ years,6.535087719298249
212178,A81622,% aged 65+ years,16.496187465129303
212179,A81629,% aged 65+ years,16.032548933362698
212180,A81631,% aged 65+ years,17.612076852699
212181,A81633,% aged 65+ years,0.620347394540943
212182,A81634,% aged 65+ years,1.54501864677677
212183,A82003,% aged 65+ years,24.839439167797398
212184,A82004,% aged 65+ years,24.153297682709397
212185,A82005,% aged 65+ years,22.725837018319602
212186,A82006,% aged 65+ years,28.0439742791952
212187,A82007,% aged 65+ years,19.8217094913477
212188,A82008,% aged 65+ years,22.530582435640007
212189,A82009,% aged 65+ years,21.2696993405611
212190,A82010,% aged 65+ years,18.304576144035998
212191,A82012,% aged 65+ years,26.109828072876606
212192,A82013,% aged 65+ years,27.5785745905268
212193,A82014,% aged 65+ years,28.8415509813308
212194,A82015,% aged 65+ years,18.483754512635397
212195,A82016,% aged 65+ years,19.682654365586604
212196,A82018,% aged 65+ years,18.5298748653352
212197,A82019,% aged 65+ years,17.7932171455488
212198,A82020,% aged 65+ years,18.8878048780488
212199,A82021,% aged 65+ years,23.9336215963539
212200,A82022,% aged 65+ years,25.146198830409396
212201,A82023,% aged 65+ years,23.562544003755
212202,A82024,% aged 65+ years,28.899164147252396
212203,A82025,% aged 65+ years,20.4200819672131
212204,A82026,% aged 65+ years,23.269886029843697
212205,A82027,% aged 65+ years,24.638240401311997
212206,A82028,% aged 65+ years,27.142857142857103
212207,A82029,% aged 65+ years,24.0852780178623
212208,A82030,% aged 65+ years,29.1255642869085
212209,A82031,% aged 65+ years,24.1108071135431
212210,A82032,% aged 65+ years,22.898975109809694
212211,A82033,% aged 65+ years,24.004781829049602
212212,A82034,% aged 65+ years,33.2473835886546
212213,A82035,% aged 65+ years,24.5938413432126
212214,A82036,% aged 65+ years,24.2354587247651
212215,A82037,% aged 65+ years,30.7949391262831
212216,A82038,% aged 65+ years,23.082069580731503
212217,A82039,% aged 65+ years,22.076553903780894
212218,A82041,% aged 65+ years,19.4332392093586
212219,A82044,% aged 65+ years,19.9726522870628
212220,A82045,% aged 65+ years,21.9858156028369
212221,A82046,% aged 65+ years,21.0098564758776
212222,A82047,% aged 65+ years,21.963245181532894
212223,A82048,% aged 65+ years,19.008763977032302
212224,A82049,% aged 65+ years,19.8121726566733
212225,A82050,% aged 65+ years,20.226425514289698
212226,A82053,% aged 65+ years,38.4085213032581
212227,A82055,% aged 65+ years,23.7295497321558
212228,A82058,% aged 65+ years,20.2953787517866
212229,A82060,% aged 65+ years,22.4338132837901
212230,A82062,% aged 65+ years,20.292310951069695
212231,A82063,% aged 65+ years,28.4747847478475
212232,A82064,% aged 65+ years,23.9495798319328
212233,A82065,% aged 65+ years,35.9592529711375
212234,A82068,% aged 65+ years,22.9920150305308
212235,A82070,% aged 65+ years,26.492232215862604
212236,A82071,% aged 65+ years,21.2760966455548
212237,A82072,% aged 65+ years,21.432731508445002
212238,A82074,% aged 65+ years,45.474516695957796
212239,A82075,% aged 65+ years,18.6227735368957
212240,A82077,% aged 65+ years,16.6666666666667
212241,A82608,% aged 65+ years,24.244604316546802
212242,A82613,% aged 65+ years,28.586171310629506
212243,A82617,% aged 65+ years,24.6141348497157
212244,A82621,% aged 65+ years,25.060975609756106
212245,A82623,% aged 65+ years,21.214526691803893
212246,A82629,% aged 65+ years,20.8310094813162
212247,A82631,% aged 65+ years,22.9655837889997
212248,A82646,% aged 65+ years,22.9805013927577
212249,A82647,% aged 65+ years,30.4936305732484
212250,A82650,% aged 65+ years,28.3424408014572
212251,A82651,% aged 65+ years,26.2153295556218
212252,A82654,% aged 65+ years,19.4440767703508
212253,A83001,% aged 65+ years,19.5804195804196
212254,A83003,% aged 65+ years,19.8898012100259
212255,A83004,% aged 65+ years,16.4959285526661
212256,A83005,% aged 65+ years,20.397668837847107
212257,A83006,% aged 65+ years,17.4339622641509
212258,A83007,% aged 65+ years,21.272243812640603
212259,A83008,% aged 65+ years,21.0631349782293
212260,A83009,% aged 65+ years,22.961846225211602
212261,A83010,% aged 65+ years,22.2090011898929
212262,A83011,% aged 65+ years,8.95870489779119
212263,A83012,% aged 65+ years,17.607438755439
212264,A83013,% aged 65+ years,15.2630168795213
212265,A83014,% aged 65+ years,23.360485986469694
212266,A83015,% aged 65+ years,22.522258096076694
212267,A83016,% aged 65+ years,19.329716485824303
212268,A83017,% aged 65+ years,22.6670201484624
212269,A83018,% aged 65+ years,21.0151380231523
212270,A83019,% aged 65+ years,19.0697674418605
212271,A83020,% aged 65+ years,21.071481868377894
212272,A83021,% aged 65+ years,19.450332061607998
212273,A83022,% aged 65+ years,19.2440290758048
212274,A83023,% aged 65+ years,19.688660888024106
212275,A83024,% aged 65+ years,23.7359550561798
212276,A83025,% aged 65+ years,18.1181031911721
212277,A83026,% aged 65+ years,18.850987432674998
212278,A83027,% aged 65+ years,18.6818397344713
212279,A83028,% aged 65+ years,21.0376687988628
212280,A83029,% aged 65+ years,22.1674876847291
212281,A83030,% aged 65+ years,17.2854583943983
212282,A83031,% aged 65+ years,23.0296311227575
212283,A83032,% aged 65+ years,28.1005356407087
212284,A83033,% aged 65+ years,20.909816440542702
212285,A83034,% aged 65+ years,18.4753889813093
212286,A83035,% aged 65+ years,28.3403068340307
212287,A83036,% aged 65+ years,26.4912737692107
212288,A83037,% aged 65+ years,23.0034030844979
212289,A83038,% aged 65+ years,16.8748900228752
212290,A83040,% aged 65+ years,16.8867613073622
212291,A83041,% aged 65+ years,20.4983606557377
212292,A83042,% aged 65+ years,19.3484481620075
212293,A83043,% aged 65+ years,29.9701046337818
212294,A83044,% aged 65+ years,19.0391701924389
212295,A83045,% aged 65+ years,20.4427850920286
212296,A83046,% aged 65+ years,26.660939289805302
212297,A83047,% aged 65+ years,18.310736026563397
212298,A83048,% aged 65+ years,23.3875290334108
212299,A83049,% aged 65+ years,18.3954802259887
212300,A83050,% aged 65+ years,19.5109780439122
212301,A83051,% aged 65+ years,18.7229862475442
