,Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to subnational parent value or percentiles,Time period Sortable
0,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,,,2010,5.8675283443207595,5.861320522251379,5.87374233096547,,,3227397.0,55004369.9937782,,,Not compared,Not compared,20100000
1,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Most deprived decile,2010,6.7528423654418095,,,,,391232.0,5793590.0,Aggregated from all known lower geography values,,Higher,Not compared,20100000
2,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Second most deprived decile,2010,6.4377935035599805,,,,,386071.0,5996946.0,Aggregated from all known lower geography values,,Higher,Not compared,20100000
3,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Third more deprived decile,2010,5.871657263123441,,,,,282722.0,4815029.0,Aggregated from all known lower geography values,,Same,Not compared,20100000
4,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Fourth more deprived decile,2010,5.9502966232763805,,,,,305767.0,5138684.99939818,Aggregated from all known lower geography values,,Higher,Not compared,20100000
5,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Fifth more deprived decile,2010,5.60655343439669,,,,,296097.0,5281265.994602299,Aggregated from all known lower geography values,,Lower,Not compared,20100000
6,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Fifth less deprived decile,2010,5.526867489522671,,,,,289227.0,5233108.99977773,Aggregated from all known lower geography values,,Lower,Not compared,20100000
7,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Fourth less deprived decile,2010,5.54427640993739,,,,,317187.0,5720981.0,Aggregated from all known lower geography values,,Lower,Not compared,20100000
8,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Third less deprived decile,2010,5.63148872970642,,,,,333296.0,5918435.0,Aggregated from all known lower geography values,,Lower,Not compared,20100000
9,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Second least deprived decile,2010,5.502224191436679,,,,,333556.0,6062203.0,Aggregated from all known lower geography values,,Lower,Not compared,20100000
10,639,% aged 0 to 4 years,,,E92000001,England,Country,Persons,0-4 yrs,CCG deprivation deciles in England (IMD2010),Least deprived decile,2010,5.788897052446259,,,,,290343.0,5015515.0,Aggregated from all known lower geography values,,Lower,Not compared,20100000
