PRACTICE,ITEMS  ,NIC        ,ACT COST   ,QUANTITY,PERIOD
C82001,14402,96306.93000000017,89481.98000000004,857459,299542320
C82002,11873,119906.55000000009,111333.81999999976,1068837,304383408
C82003,19968,126706.64000000009,118177.38000000022,1245757,341094992
C82005,15567,116893.35000000003,108619.92999999995,1241207,292885824
C82007,15529,142729.64,132746.63000000012,1670355,340288144
C82008,15017,137926.16000000006,128328.04000000005,1423631,328992272
C82009,49187,326714.5200000004,304420.4400000005,2930500,514365600
C82010,34944,208227.92999999982,194627.72000000023,2161374,424603760
C82011,13894,150409.93000000023,139710.0400000001,1650003,340489856
C82012,17889,133738.9199999998,124212.03000000014,1275293,333026512
C82013,17317,153203.71000000005,142305.17000000004,1585097,344725808
C82014,21465,149572.48000000013,139167.95999999973,1248602,370343232
C82015,1042,8038.949999999999,7483.2399999999925,67694,76448848
C82016,12445,88786.47999999995,82340.07999999993,902451,285422480
C82017,23153,160087.14000000042,148561.48,1786598,376798016
C82018,36858,217367.94999999987,203038.58000000034,2707111,410080496
C82019,10671,62943.35999999995,58727.68999999995,676776,215024992
C82020,7428,70337.36999999994,65445.76999999995,659531,245685216
C82021,12236,118695.75999999994,110264.41000000015,1112263,295911504
C82022,12046,89050.64999999998,82721.12000000011,680336,275942016
C82023,212,2597.620000000001,2413.2899999999995,63972,28844816
C82024,23146,222216.2299999999,206805.7799999998,2690825,365905568
C82025,13365,134898.13000000006,125331.8300000001,1190012,321730640
C82026,12190,118236.15000000007,109891.21000000015,1309770,324554608
C82027,13942,97831.75000000006,90893.95000000001,858225,296314928
C82028,18054,139056.77999999974,129240.37000000005,1290156,359047360
C82029,22879,184675.39000000028,171878.67000000013,1876539,397776064
C82030,10278,105017.19000000005,97643.34999999995,961402,292280688
C82031,15431,130653.86999999994,121763.7099999999,1544692,326773440
C82032,7463,80272.0299999999,74570.14999999995,599180,235196192
C82033,15585,126356.50000000004,117558.56999999982,1491096,341296704
C82034,9123,87022.91999999995,80837.17999999992,736153,264646144
C82035,9990,93145.56,86606.06000000001,874458,273118048
C82036,25580,188410.50000000035,175058.17000000033,1802573,386480192
