PRACTICE,ITEMS  ,NIC        ,ACT COST   ,QUANTITY,PERIOD
A81001,8012,62724.13000000001,58415.87999999998,701101,230153392
A81002,37730,303726.6100000001,283142.35999999975,2727979,437916752
A81004,17127,141415.64999999994,131557.6300000001,1389141,326773440
A81005,16155,106384.64000000016,99121.43999999994,917147,292684112
A81006,28565,205637.39000000004,191342.93999999977,1862637,370141520
A81007,17030,130218.34000000013,121393.84000000003,1221708,298533760
A81009,17320,122328.35999999968,113875.22999999976,1277437,307610800
A81011,23081,184051.46999999997,171399.0099999997,1752806,329799120
A81012,13349,86690.2800000001,80906.76999999995,899804,260813616
A81013,13483,86234.48,80246.7800000001,766382,269688944
A81014,8951,67202.82999999997,62558.08999999999,513049,258191360
A81015,6160,43455.01000000001,40460.41999999996,408646,184969904
A81016,17743,135157.70000000016,125818.42999999993,1388850,334438496
A81017,33654,239415.02999999965,223139.12000000032,2167553,431260256
A81018,24400,165967.8300000002,154606.9899999999,1364584,352189152
A81019,20362,159909.49000000025,148778.4299999999,1406251,335245344
A81020,15829,117299.68000000007,109228.95999999999,1054938,312451888
A81021,32107,211390.43999999965,197130.04999999978,2075359,395960656
A81022,22965,163309.70000000042,151950.40000000026,1436504,366510704
A81023,9785,98228.04999999973,91396.61000000009,909295,289255008
A81025,8217,59331.34999999982,55216.45999999994,549557,227531136
A81026,26914,226999.83000000034,211169.1299999996,2275021,415123296
A81027,21306,170741.77999999994,158817.71999999997,1508211,362274752
A81029,11985,75560.10999999988,70611.43999999978,808136,244878368
A81030,22040,204266.71999999977,190300.11000000025,1851916,386278480
A81031,22053,198203.7599999998,184451.02999999945,1889692,358038800
A81032,22881,163827.10000000062,152498.66999999987,1521084,363686736
A81033,8666,61160.54,57047.66999999993,533622,209175344
A81034,38285,299581.89999999997,278990.46000000025,3061499,446590368
A81035,17093,149024.83000000028,138596.70000000004,1534769,335043632
A81036,35475,255723.0099999999,238128.43000000025,2488111,420166096
A81037,13964,101640.93000000011,94745.1699999999,1102803,282800224
A81038,7969,53785.269999999946,50223.85999999993,667360,211394176
A81039,16143,113194.97000000013,105275.96999999996,1063739,309426208
A81040,15309,114944.31999999983,106937.61999999997,1116612,280379680
A81041,16269,129108.42999999996,120192.13000000016,1178257,279371120
A81042,26522,164623.13000000035,153539.62,1500528,337464176
A81043,19312,142804.6499999997,132926.61000000007,1353303,348356624
A81044,39627,244863.87000000014,228759.91,2136158,402012016
A81045,20241,125300.74999999994,116909.91999999997,1321775,322335776
A81046,23550,190047.67000000004,176922.20000000013,1846896,399389760
A81047,3,97.0,89.89,148,605136
A81048,20664,117555.0400000002,109742.75000000004,1112175,315477568
A81049,14441,94232.95000000004,87970.75000000003,826218,267470112
